task,domain,source_anchor_pct,target_anchor_pct,metric,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,transfer_verdict
earlystop,math,10,10,auroc,0.894273,0.895386,0.896373,-0.001113,-0.002100,tie
earlystop,math,10,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,10,10,stop_acc,0.741667,0.733333,0.716667,0.008334,0.025000,win
earlystop,math,10,40,auroc,0.943174,0.945627,0.947742,-0.002453,-0.004568,tie
earlystop,math,10,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,10,40,stop_acc,0.766667,0.766667,0.758333,0.000000,0.008334,win
earlystop,math,10,70,auroc,0.954895,0.958260,0.959111,-0.003365,-0.004216,tie
earlystop,math,10,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,70,stop_acc,0.783333,0.766667,0.775000,0.016666,0.008333,win
earlystop,math,10,100,auroc,0.963860,0.965784,0.966757,-0.001924,-0.002897,tie
earlystop,math,10,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,100,stop_acc,0.800000,0.800000,0.800000,0.000000,0.000000,win
earlystop,math,40,10,auroc,0.890445,0.895386,0.896373,-0.004941,-0.005928,tie
earlystop,math,40,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,40,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,40,40,auroc,0.943594,0.945627,0.947742,-0.002033,-0.004148,tie
earlystop,math,40,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,40,40,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,40,70,auroc,0.957682,0.958260,0.959111,-0.000578,-0.001429,tie
earlystop,math,40,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,40,100,auroc,0.965701,0.965784,0.966757,-0.000083,-0.001056,tie
earlystop,math,40,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,70,10,auroc,0.883672,0.895386,0.896373,-0.011714,-0.012701,tie
earlystop,math,70,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,70,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,70,40,auroc,0.942584,0.945627,0.947742,-0.003043,-0.005158,tie
earlystop,math,70,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,70,40,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,70,70,auroc,0.957509,0.958260,0.959111,-0.000751,-0.001602,tie
earlystop,math,70,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,70,100,auroc,0.965791,0.965784,0.966757,0.000007,-0.000966,win
earlystop,math,70,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,100,10,auroc,0.870281,0.895386,0.896373,-0.025105,-0.026092,loss
earlystop,math,100,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,100,10,stop_acc,0.733333,0.733333,0.716667,0.000000,0.016666,win
earlystop,math,100,40,auroc,0.936862,0.945627,0.947742,-0.008765,-0.010880,tie
earlystop,math,100,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,100,40,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,100,70,auroc,0.956144,0.958260,0.959111,-0.002116,-0.002967,tie
earlystop,math,100,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,100,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,100,100,auroc,0.965466,0.965784,0.966757,-0.000318,-0.001291,tie
earlystop,math,100,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,100,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,science,10,10,auroc,0.683327,0.683474,0.696647,-0.000147,-0.013320,tie
earlystop,science,10,10,selacc@10%,0.811300,0.817925,0.828119,-0.006625,-0.016819,tie
earlystop,science,10,10,stop_acc,0.616667,0.647051,0.621795,-0.030384,-0.005128,loss
earlystop,science,10,40,auroc,0.721508,0.746794,0.743547,-0.025286,-0.022039,loss
earlystop,science,10,40,selacc@10%,0.911362,0.938406,0.940806,-0.027044,-0.029444,loss
earlystop,science,10,40,stop_acc,0.631795,0.646795,0.652051,-0.015000,-0.020256,tie
earlystop,science,10,70,auroc,0.715687,0.761127,0.760517,-0.045440,-0.044830,loss
earlystop,science,10,70,selacc@10%,0.892500,0.958050,0.955669,-0.065550,-0.063169,loss
earlystop,science,10,70,stop_acc,0.631923,0.652179,0.631795,-0.020256,0.000128,loss
earlystop,science,10,100,auroc,0.717091,0.773071,0.779804,-0.055980,-0.062713,loss
earlystop,science,10,100,selacc@10%,0.901781,0.970012,0.981062,-0.068231,-0.079281,loss
earlystop,science,10,100,stop_acc,0.657051,0.667436,0.631923,-0.010385,0.025128,tie
earlystop,science,40,10,auroc,0.675636,0.683474,0.696647,-0.007838,-0.021011,tie
earlystop,science,40,10,selacc@10%,0.760456,0.817925,0.828119,-0.057469,-0.067663,loss
earlystop,science,40,10,stop_acc,0.611282,0.647051,0.621795,-0.035769,-0.010513,loss
earlystop,science,40,40,auroc,0.732245,0.746794,0.743547,-0.014549,-0.011302,tie
earlystop,science,40,40,selacc@10%,0.937813,0.938406,0.940806,-0.000593,-0.002993,tie
earlystop,science,40,40,stop_acc,0.632051,0.646795,0.652051,-0.014744,-0.020000,tie
earlystop,science,40,70,auroc,0.744050,0.761127,0.760517,-0.017077,-0.016467,tie
earlystop,science,40,70,selacc@10%,0.963800,0.958050,0.955669,0.005750,0.008131,win
earlystop,science,40,70,stop_acc,0.657179,0.652179,0.631795,0.005000,0.025384,win
earlystop,science,40,100,auroc,0.751642,0.773071,0.779804,-0.021429,-0.028162,loss
earlystop,science,40,100,selacc@10%,0.953606,0.970012,0.981062,-0.016406,-0.027456,tie
earlystop,science,40,100,stop_acc,0.641795,0.667436,0.631923,-0.025641,0.009872,loss
earlystop,science,70,10,auroc,0.673110,0.683474,0.696647,-0.010364,-0.023537,tie
earlystop,science,70,10,selacc@10%,0.763600,0.817925,0.828119,-0.054325,-0.064519,loss
earlystop,science,70,10,stop_acc,0.601410,0.647051,0.621795,-0.045641,-0.020385,loss
earlystop,science,70,40,auroc,0.736207,0.746794,0.743547,-0.010587,-0.007340,tie
earlystop,science,70,40,selacc@10%,0.944044,0.938406,0.940806,0.005638,0.003238,win
earlystop,science,70,40,stop_acc,0.621795,0.646795,0.652051,-0.025000,-0.030256,loss
earlystop,science,70,70,auroc,0.746377,0.761127,0.760517,-0.014750,-0.014140,tie
earlystop,science,70,70,selacc@10%,0.963650,0.958050,0.955669,0.005600,0.007981,win
earlystop,science,70,70,stop_acc,0.642051,0.652179,0.631795,-0.010128,0.010256,tie
earlystop,science,70,100,auroc,0.757664,0.773071,0.779804,-0.015407,-0.022140,tie
earlystop,science,70,100,selacc@10%,0.976300,0.970012,0.981062,0.006288,-0.004762,win
earlystop,science,70,100,stop_acc,0.647051,0.667436,0.631923,-0.020385,0.015128,loss
earlystop,science,100,10,auroc,0.681719,0.683474,0.696647,-0.001755,-0.014928,tie
earlystop,science,100,10,selacc@10%,0.810950,0.817925,0.828119,-0.006975,-0.017169,tie
earlystop,science,100,10,stop_acc,0.636923,0.647051,0.621795,-0.010128,0.015128,tie
earlystop,science,100,40,auroc,0.746056,0.746794,0.743547,-0.000738,0.002509,tie
earlystop,science,100,40,selacc@10%,0.940769,0.938406,0.940806,0.002363,-0.000037,win
earlystop,science,100,40,stop_acc,0.631795,0.646795,0.652051,-0.015000,-0.020256,tie
earlystop,science,100,70,auroc,0.760251,0.761127,0.760517,-0.000876,-0.000266,tie
earlystop,science,100,70,selacc@10%,0.953306,0.958050,0.955669,-0.004744,-0.002363,tie
earlystop,science,100,70,stop_acc,0.642308,0.652179,0.631795,-0.009871,0.010513,tie
earlystop,science,100,100,auroc,0.771629,0.773071,0.779804,-0.001442,-0.008175,tie
earlystop,science,100,100,selacc@10%,0.970794,0.970012,0.981062,0.000782,-0.010268,win
earlystop,science,100,100,stop_acc,0.647051,0.667436,0.631923,-0.020385,0.015128,loss
