summary_type,domain,metric,source_anchor_pct,target_anchor_pct,pair_label,pair_count,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,paired_source_anchor_pct,paired_target_anchor_pct,paired_pair_label,paired_frozen_basis,paired_delta_fb_minus_ts,forward_minus_backward_frozen,forward_minus_backward_delta
diagonal_pair,math,auroc,10,10,10->10,1,0.894273,0.895386,0.896373,-0.001113,-0.0021,,,,,,,
diagonal_pair,math,auroc,40,40,40->40,1,0.943594,0.945627,0.947742,-0.002033,-0.004148,,,,,,,
diagonal_pair,math,auroc,70,70,70->70,1,0.957509,0.95826,0.959111,-0.000751,-0.001602,,,,,,,
diagonal_pair,math,auroc,100,100,100->100,1,0.965466,0.965784,0.966757,-0.000318,-0.001291,,,,,,,
diagonal_pair,math,selacc@10%,10,10,10->10,1,0.997403,0.998701,0.998701,-0.001298,-0.001298,,,,,,,
diagonal_pair,math,selacc@10%,40,40,40->40,1,0.996104,0.996104,0.997403,0.0,-0.001299,,,,,,,
diagonal_pair,math,selacc@10%,70,70,70->70,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
diagonal_pair,math,selacc@10%,100,100,100->100,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
diagonal_pair,math,stop_acc,10,10,10->10,1,0.741667,0.733333,0.716667,0.008334,0.025,,,,,,,
diagonal_pair,math,stop_acc,40,40,40->40,1,0.758333,0.766667,0.758333,-0.008334,0.0,,,,,,,
diagonal_pair,math,stop_acc,70,70,70->70,1,0.766667,0.766667,0.775,0.0,-0.008333,,,,,,,
diagonal_pair,math,stop_acc,100,100,100->100,1,0.791667,0.8,0.8,-0.008333,-0.008333,,,,,,,
diagonal_pair,science,auroc,10,10,10->10,1,0.683327,0.683474,0.696647,-0.000147,-0.01332,,,,,,,
diagonal_pair,science,auroc,40,40,40->40,1,0.732245,0.746794,0.743547,-0.014549,-0.011302,,,,,,,
diagonal_pair,science,auroc,70,70,70->70,1,0.746377,0.761127,0.760517,-0.01475,-0.01414,,,,,,,
diagonal_pair,science,auroc,100,100,100->100,1,0.771629,0.773071,0.779804,-0.001442,-0.008175,,,,,,,
diagonal_pair,science,selacc@10%,10,10,10->10,1,0.8113,0.817925,0.828119,-0.006625,-0.016819,,,,,,,
diagonal_pair,science,selacc@10%,40,40,40->40,1,0.937813,0.938406,0.940806,-0.000593,-0.002993,,,,,,,
diagonal_pair,science,selacc@10%,70,70,70->70,1,0.96365,0.95805,0.955669,0.0056,0.007981,,,,,,,
diagonal_pair,science,selacc@10%,100,100,100->100,1,0.970794,0.970012,0.981062,0.000782,-0.010268,,,,,,,
diagonal_pair,science,stop_acc,10,10,10->10,1,0.616667,0.647051,0.621795,-0.030384,-0.005128,,,,,,,
diagonal_pair,science,stop_acc,40,40,40->40,1,0.632051,0.646795,0.652051,-0.014744,-0.02,,,,,,,
diagonal_pair,science,stop_acc,70,70,70->70,1,0.642051,0.652179,0.631795,-0.010128,0.010256,,,,,,,
diagonal_pair,science,stop_acc,100,100,100->100,1,0.647051,0.667436,0.631923,-0.020385,0.015128,,,,,,,
diagonal_mean,math,auroc,,,"10->10,40->40,70->70,100->100",4,0.9402105000000001,0.9412642499999999,0.94249575,-0.00105375,-0.00228525,,,,,,,
diagonal_mean,math,selacc@10%,,,"10->10,40->40,70->70,100->100",4,0.9977272500000001,0.99805175,0.9983765,-0.0003245,-0.00064925,,,,,,,
diagonal_mean,math,stop_acc,,,"10->10,40->40,70->70,100->100",4,0.7645835,0.76666675,0.7625,-0.00208325,0.0020835000000000003,,,,,,,
diagonal_mean,science,auroc,,,"10->10,40->40,70->70,100->100",4,0.7333945,0.7411165,0.74512875,-0.007722,-0.01173425,,,,,,,
diagonal_mean,science,selacc@10%,,,"10->10,40->40,70->70,100->100",4,0.92088925,0.92109825,0.9264140000000001,-0.0002089999999999999,-0.00552475,,,,,,,
diagonal_mean,science,stop_acc,,,"10->10,40->40,70->70,100->100",4,0.634455,0.65336525,0.634391,-0.01891025,6.399999999999982e-05,,,,,,,
offdiag_focus_pair,math,auroc,10,100,10->100,1,0.96386,0.965784,0.966757,-0.001924,-0.002897,,,,,,,
offdiag_focus_pair,math,auroc,40,100,40->100,1,0.965701,0.965784,0.966757,-8.3e-05,-0.001056,,,,,,,
offdiag_focus_pair,math,auroc,100,40,100->40,1,0.936862,0.945627,0.947742,-0.008765,-0.01088,,,,,,,
offdiag_focus_pair,math,auroc,100,70,100->70,1,0.956144,0.95826,0.959111,-0.002116,-0.002967,,,,,,,
offdiag_focus_pair,math,selacc@10%,10,100,10->100,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
offdiag_focus_pair,math,selacc@10%,40,100,40->100,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
offdiag_focus_pair,math,selacc@10%,100,40,100->40,1,0.996104,0.996104,0.997403,0.0,-0.001299,,,,,,,
offdiag_focus_pair,math,selacc@10%,100,70,100->70,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
offdiag_focus_pair,math,stop_acc,10,100,10->100,1,0.8,0.8,0.8,0.0,0.0,,,,,,,
offdiag_focus_pair,math,stop_acc,40,100,40->100,1,0.791667,0.8,0.8,-0.008333,-0.008333,,,,,,,
offdiag_focus_pair,math,stop_acc,100,40,100->40,1,0.758333,0.766667,0.758333,-0.008334,0.0,,,,,,,
offdiag_focus_pair,math,stop_acc,100,70,100->70,1,0.766667,0.766667,0.775,0.0,-0.008333,,,,,,,
offdiag_focus_pair,science,auroc,10,100,10->100,1,0.717091,0.773071,0.779804,-0.05598,-0.062713,,,,,,,
