task,domain,source_anchor_pct,target_anchor_pct,metric,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,transfer_verdict
earlystop,math,10,10,auroc,0.894273,0.895386,0.896373,-0.001113,-0.002100,tie
earlystop,math,10,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,10,10,stop_acc,0.741667,0.733333,0.716667,0.008334,0.025000,win
earlystop,math,10,20,auroc,0.922433,0.924461,0.924551,-0.002028,-0.002118,tie
earlystop,math,10,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,20,stop_acc,0.750000,0.750000,0.733333,0.000000,0.016667,win
earlystop,math,10,30,auroc,0.934840,0.937504,0.938941,-0.002664,-0.004101,tie
earlystop,math,10,30,selacc@10%,0.997403,0.996104,0.997403,0.001299,0.000000,win
earlystop,math,10,30,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,10,40,auroc,0.943174,0.945627,0.947742,-0.002453,-0.004568,tie
earlystop,math,10,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,10,40,stop_acc,0.766667,0.766667,0.758333,0.000000,0.008334,win
earlystop,math,10,50,auroc,0.947656,0.950834,0.952795,-0.003178,-0.005139,tie
earlystop,math,10,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,10,50,stop_acc,0.775000,0.750000,0.741667,0.025000,0.033333,win
earlystop,math,10,60,auroc,0.950970,0.954784,0.956348,-0.003814,-0.005378,tie
earlystop,math,10,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,60,stop_acc,0.758333,0.741667,0.741667,0.016666,0.016666,win
earlystop,math,10,70,auroc,0.954895,0.958260,0.959111,-0.003365,-0.004216,tie
earlystop,math,10,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,70,stop_acc,0.783333,0.766667,0.775000,0.016666,0.008333,win
earlystop,math,10,80,auroc,0.957864,0.960316,0.961026,-0.002452,-0.003162,tie
earlystop,math,10,80,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,80,stop_acc,0.783333,0.775000,0.766667,0.008333,0.016666,win
earlystop,math,10,90,auroc,0.961075,0.963295,0.964069,-0.002220,-0.002994,tie
earlystop,math,10,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,90,stop_acc,0.791667,0.783333,0.791667,0.008334,0.000000,win
earlystop,math,10,100,auroc,0.963860,0.965784,0.966757,-0.001924,-0.002897,tie
earlystop,math,10,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,10,100,stop_acc,0.800000,0.800000,0.800000,0.000000,0.000000,win
earlystop,math,20,10,auroc,0.893064,0.895386,0.896373,-0.002322,-0.003309,tie
earlystop,math,20,10,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,10,stop_acc,0.733333,0.733333,0.716667,0.000000,0.016666,win
earlystop,math,20,20,auroc,0.921646,0.924461,0.924551,-0.002815,-0.002905,tie
earlystop,math,20,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,20,stop_acc,0.725000,0.750000,0.733333,-0.025000,-0.008333,loss
earlystop,math,20,30,auroc,0.934265,0.937504,0.938941,-0.003239,-0.004676,tie
earlystop,math,20,30,selacc@10%,0.997403,0.996104,0.997403,0.001299,0.000000,win
earlystop,math,20,30,stop_acc,0.766667,0.766667,0.758333,0.000000,0.008334,win
earlystop,math,20,40,auroc,0.943217,0.945627,0.947742,-0.002410,-0.004525,tie
earlystop,math,20,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,20,40,stop_acc,0.766667,0.766667,0.758333,0.000000,0.008334,win
earlystop,math,20,50,auroc,0.948695,0.950834,0.952795,-0.002139,-0.004100,tie
earlystop,math,20,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,20,50,stop_acc,0.758333,0.750000,0.741667,0.008333,0.016666,win
earlystop,math,20,60,auroc,0.952614,0.954784,0.956348,-0.002170,-0.003734,tie
earlystop,math,20,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,60,stop_acc,0.758333,0.741667,0.741667,0.016666,0.016666,win
earlystop,math,20,70,auroc,0.956692,0.958260,0.959111,-0.001568,-0.002419,tie
earlystop,math,20,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,70,stop_acc,0.775000,0.766667,0.775000,0.008333,0.000000,win
earlystop,math,20,80,auroc,0.959382,0.960316,0.961026,-0.000934,-0.001644,tie
earlystop,math,20,80,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,80,stop_acc,0.766667,0.775000,0.766667,-0.008333,0.000000,tie
earlystop,math,20,90,auroc,0.962671,0.963295,0.964069,-0.000624,-0.001398,tie
earlystop,math,20,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,90,stop_acc,0.791667,0.783333,0.791667,0.008334,0.000000,win
earlystop,math,20,100,auroc,0.965271,0.965784,0.966757,-0.000513,-0.001486,tie
earlystop,math,20,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,20,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,30,10,auroc,0.892159,0.895386,0.896373,-0.003227,-0.004214,tie
earlystop,math,30,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,30,10,stop_acc,0.733333,0.733333,0.716667,0.000000,0.016666,win
earlystop,math,30,20,auroc,0.921092,0.924461,0.924551,-0.003369,-0.003459,tie
earlystop,math,30,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,30,20,stop_acc,0.733333,0.750000,0.733333,-0.016667,0.000000,tie
earlystop,math,30,30,auroc,0.934163,0.937504,0.938941,-0.003341,-0.004778,tie
earlystop,math,30,30,selacc@10%,0.997403,0.996104,0.997403,0.001299,0.000000,win
earlystop,math,30,30,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,30,40,auroc,0.943508,0.945627,0.947742,-0.002119,-0.004234,tie
earlystop,math,30,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,30,40,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,30,50,auroc,0.949374,0.950834,0.952795,-0.001460,-0.003421,tie
earlystop,math,30,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,30,50,stop_acc,0.766667,0.750000,0.741667,0.016667,0.025000,win
earlystop,math,30,60,auroc,0.953580,0.954784,0.956348,-0.001204,-0.002768,tie
earlystop,math,30,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,30,60,stop_acc,0.758333,0.741667,0.741667,0.016666,0.016666,win
earlystop,math,30,70,auroc,0.957581,0.958260,0.959111,-0.000679,-0.001530,tie
earlystop,math,30,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,30,70,stop_acc,0.775000,0.766667,0.775000,0.008333,0.000000,win
earlystop,math,30,80,auroc,0.960058,0.960316,0.961026,-0.000258,-0.000968,tie
earlystop,math,30,80,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,30,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,30,90,auroc,0.963119,0.963295,0.964069,-0.000176,-0.000950,tie
earlystop,math,30,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,30,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,30,100,auroc,0.965627,0.965784,0.966757,-0.000157,-0.001130,tie
earlystop,math,30,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,30,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,40,10,auroc,0.890445,0.895386,0.896373,-0.004941,-0.005928,tie
earlystop,math,40,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,40,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,40,20,auroc,0.920644,0.924461,0.924551,-0.003817,-0.003907,tie
earlystop,math,40,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,20,stop_acc,0.725000,0.750000,0.733333,-0.025000,-0.008333,loss
earlystop,math,40,30,auroc,0.934070,0.937504,0.938941,-0.003434,-0.004871,tie
earlystop,math,40,30,selacc@10%,0.998701,0.996104,0.997403,0.002597,0.001298,win
earlystop,math,40,30,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,40,40,auroc,0.943594,0.945627,0.947742,-0.002033,-0.004148,tie
earlystop,math,40,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,40,40,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,40,50,auroc,0.949485,0.950834,0.952795,-0.001349,-0.003310,tie
earlystop,math,40,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,40,50,stop_acc,0.758333,0.750000,0.741667,0.008333,0.016666,win
earlystop,math,40,60,auroc,0.953745,0.954784,0.956348,-0.001039,-0.002603,tie
earlystop,math,40,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,60,stop_acc,0.758333,0.741667,0.741667,0.016666,0.016666,win
earlystop,math,40,70,auroc,0.957682,0.958260,0.959111,-0.000578,-0.001429,tie
earlystop,math,40,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,40,80,auroc,0.960109,0.960316,0.961026,-0.000207,-0.000917,tie
earlystop,math,40,80,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,40,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,40,90,auroc,0.963119,0.963295,0.964069,-0.000176,-0.000950,tie
earlystop,math,40,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,40,100,auroc,0.965701,0.965784,0.966757,-0.000083,-0.001056,tie
earlystop,math,40,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,40,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,50,10,auroc,0.888102,0.895386,0.896373,-0.007284,-0.008271,tie
earlystop,math,50,10,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,50,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,50,20,auroc,0.919927,0.924461,0.924551,-0.004534,-0.004624,tie
earlystop,math,50,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,50,20,stop_acc,0.716667,0.750000,0.733333,-0.033333,-0.016666,loss
earlystop,math,50,30,auroc,0.933784,0.937504,0.938941,-0.003720,-0.005157,tie
earlystop,math,50,30,selacc@10%,0.997403,0.996104,0.997403,0.001299,0.000000,win
earlystop,math,50,30,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,50,40,auroc,0.943441,0.945627,0.947742,-0.002186,-0.004301,tie
earlystop,math,50,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,50,40,stop_acc,0.758333,0.766667,0.758333,-0.008334,0.000000,tie
earlystop,math,50,50,auroc,0.949396,0.950834,0.952795,-0.001438,-0.003399,tie
earlystop,math,50,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,50,50,stop_acc,0.758333,0.750000,0.741667,0.008333,0.016666,win
earlystop,math,50,60,auroc,0.953811,0.954784,0.956348,-0.000973,-0.002537,tie
earlystop,math,50,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,50,60,stop_acc,0.758333,0.741667,0.741667,0.016666,0.016666,win
earlystop,math,50,70,auroc,0.957708,0.958260,0.959111,-0.000552,-0.001403,tie
earlystop,math,50,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,50,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,50,80,auroc,0.960147,0.960316,0.961026,-0.000169,-0.000879,tie
earlystop,math,50,80,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,50,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,50,90,auroc,0.963157,0.963295,0.964069,-0.000138,-0.000912,tie
earlystop,math,50,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,50,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,50,100,auroc,0.965817,0.965784,0.966757,0.000033,-0.000940,win
earlystop,math,50,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,50,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,60,10,auroc,0.886066,0.895386,0.896373,-0.009320,-0.010307,tie
earlystop,math,60,10,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,60,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,60,20,auroc,0.919055,0.924461,0.924551,-0.005406,-0.005496,tie
earlystop,math,60,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,60,20,stop_acc,0.716667,0.750000,0.733333,-0.033333,-0.016666,loss
earlystop,math,60,30,auroc,0.933218,0.937504,0.938941,-0.004286,-0.005723,tie
earlystop,math,60,30,selacc@10%,0.998701,0.996104,0.997403,0.002597,0.001298,win
earlystop,math,60,30,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,60,40,auroc,0.943113,0.945627,0.947742,-0.002514,-0.004629,tie
earlystop,math,60,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,60,40,stop_acc,0.766667,0.766667,0.758333,0.000000,0.008334,win
earlystop,math,60,50,auroc,0.949245,0.950834,0.952795,-0.001589,-0.003550,tie
earlystop,math,60,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,60,50,stop_acc,0.758333,0.750000,0.741667,0.008333,0.016666,win
earlystop,math,60,60,auroc,0.953777,0.954784,0.956348,-0.001007,-0.002571,tie
earlystop,math,60,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,60,60,stop_acc,0.750000,0.741667,0.741667,0.008333,0.008333,win
earlystop,math,60,70,auroc,0.957672,0.958260,0.959111,-0.000588,-0.001439,tie
earlystop,math,60,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,60,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,60,80,auroc,0.960173,0.960316,0.961026,-0.000143,-0.000853,tie
earlystop,math,60,80,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,60,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,60,90,auroc,0.963222,0.963295,0.964069,-0.000073,-0.000847,tie
earlystop,math,60,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,60,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,60,100,auroc,0.965873,0.965784,0.966757,0.000089,-0.000884,win
earlystop,math,60,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,60,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,70,10,auroc,0.883672,0.895386,0.896373,-0.011714,-0.012701,tie
earlystop,math,70,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,70,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,70,20,auroc,0.917801,0.924461,0.924551,-0.006660,-0.006750,tie
earlystop,math,70,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,20,stop_acc,0.716667,0.750000,0.733333,-0.033333,-0.016666,loss
earlystop,math,70,30,auroc,0.932382,0.937504,0.938941,-0.005122,-0.006559,tie
earlystop,math,70,30,selacc@10%,0.998701,0.996104,0.997403,0.002597,0.001298,win
earlystop,math,70,30,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,70,40,auroc,0.942584,0.945627,0.947742,-0.003043,-0.005158,tie
earlystop,math,70,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,70,40,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,70,50,auroc,0.948872,0.950834,0.952795,-0.001962,-0.003923,tie
earlystop,math,70,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,70,50,stop_acc,0.758333,0.750000,0.741667,0.008333,0.016666,win
earlystop,math,70,60,auroc,0.953511,0.954784,0.956348,-0.001273,-0.002837,tie
earlystop,math,70,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,60,stop_acc,0.750000,0.741667,0.741667,0.008333,0.008333,win
earlystop,math,70,70,auroc,0.957509,0.958260,0.959111,-0.000751,-0.001602,tie
earlystop,math,70,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,70,80,auroc,0.960051,0.960316,0.961026,-0.000265,-0.000975,tie
earlystop,math,70,80,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,70,90,auroc,0.963103,0.963295,0.964069,-0.000192,-0.000966,tie
earlystop,math,70,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,70,100,auroc,0.965791,0.965784,0.966757,0.000007,-0.000966,win
earlystop,math,70,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,70,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,80,10,auroc,0.881261,0.895386,0.896373,-0.014125,-0.015112,tie
earlystop,math,80,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,80,10,stop_acc,0.716667,0.733333,0.716667,-0.016666,0.000000,tie
earlystop,math,80,20,auroc,0.916513,0.924461,0.924551,-0.007948,-0.008038,tie
earlystop,math,80,20,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,80,20,stop_acc,0.725000,0.750000,0.733333,-0.025000,-0.008333,loss
earlystop,math,80,30,auroc,0.931417,0.937504,0.938941,-0.006087,-0.007524,tie
earlystop,math,80,30,selacc@10%,0.998701,0.996104,0.997403,0.002597,0.001298,win
earlystop,math,80,30,stop_acc,0.741667,0.766667,0.758333,-0.025000,-0.016666,loss
earlystop,math,80,40,auroc,0.941947,0.945627,0.947742,-0.003680,-0.005795,tie
earlystop,math,80,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,80,40,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,80,50,auroc,0.948506,0.950834,0.952795,-0.002328,-0.004289,tie
