task,domain,source_anchor_pct,target_anchor_pct,condition,metric,mean,std,n_folds,n_samples,n_groups,source_bundle,source_training_position_pct,target_training_position_pct,source_route_auroc,target_route_auroc,source_rank,target_rank,source_representation,target_representation
earlystop,math,10,10,frozen_basis,auroc,0.894273,0.017049,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,frozen_basis,stop_acc,0.741667,0.048591,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r2,10,10,0.902177,0.902177,16,16,raw+rank,raw+rank
earlystop,math,10,20,frozen_basis,auroc,0.922433,0.020206,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,frozen_basis,stop_acc,0.750000,0.064550,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,task_specific,auroc,0.924461,0.018954,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,task_specific,stop_acc,0.750000,0.064550,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,no_svd,auroc,0.924551,0.015659,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,20,no_svd,stop_acc,0.733333,0.062361,5,7680,120,es_svd_ms_rr_r2,10,20,0.902177,0.921091,16,16,raw+rank,raw+rank
earlystop,math,10,30,frozen_basis,auroc,0.934840,0.019125,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,frozen_basis,stop_acc,0.758333,0.066667,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,task_specific,auroc,0.937504,0.017855,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,task_specific,stop_acc,0.766667,0.062361,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,no_svd,auroc,0.938941,0.013239,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,30,no_svd,stop_acc,0.758333,0.071686,5,7680,120,es_svd_ms_rr_r2,10,30,0.902177,0.932906,16,16,raw+rank,raw+rank
earlystop,math,10,40,frozen_basis,auroc,0.943174,0.018494,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
earlystop,math,10,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
earlystop,math,10,40,frozen_basis,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
earlystop,math,10,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
earlystop,math,10,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
earlystop,math,10,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
earlystop,math,10,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r2,10,40,0.902177,0.939075,16,16,raw+rank,raw+rank
