summary_type,domain,metric,source_anchor_pct,target_anchor_pct,gap_pct,direction,pair_count,pair_label,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd
diagonal_mean,math,auroc,,,,diagonal,10,,0.9442778999999998,0.9456251,0.9467713,-0.0013472000000000002,-0.0024934
diagonal_mean,math,selacc@10%,,,,diagonal,10,,0.9980519000000001,0.9980518,0.9984414000000001,1.0000000000001327e-07,-0.0003895
diagonal_mean,math,stop_acc,,,,diagonal,10,,0.7583333,0.7633333999999999,0.7583333999999999,-0.0050001,-9.999999999992654e-08
diagonal_mean,science,auroc,,,,diagonal,10,,0.7402863,0.7411852999999999,0.7442593,-0.000899,-0.003973
diagonal_mean,science,selacc@10%,,,,diagonal,10,,0.9193862000000002,0.9175543000000002,0.9189113000000001,0.0018319000000000002,0.0004749
diagonal_mean,science,stop_acc,,,,diagonal,10,,0.6424101999999999,0.6382051000000001,0.6412948,0.0042051000000000015,0.0011153999999999997
offdiag_all_mean,math,auroc,,,,combined,90,,0.9422417111111111,0.9456251000000001,0.9467713,-0.0033833888888888885,-0.004529588888888888
offdiag_all_mean,math,selacc@10%,,,,combined,90,,0.9980518777777778,0.9980517999999999,0.9984413999999999,7.77777777777857e-08,-0.0003895222222222222
offdiag_all_mean,math,stop_acc,,,,combined,90,,0.7587037111111111,0.7633334,0.7583333999999999,-0.0046296888888888894,0.00037031111111111116
offdiag_all_mean,science,auroc,,,,combined,90,,0.7357656444444446,0.7411852999999999,0.7442593000000001,-0.005419655555555555,-0.008493655555555556
offdiag_all_mean,science,selacc@10%,,,,combined,90,,0.9173906888888889,0.9175543,0.9189112999999998,-0.00016361111111111106,-0.0015206111111111113
offdiag_all_mean,science,stop_acc,,,,combined,90,,0.6402235333333334,0.6382051,0.6412948,0.0020184333333333328,-0.0010712666666666663
near_offdiag_mean,math,auroc,,,,combined,34,,0.9458811764705882,0.947497294117647,0.9487050588235294,-0.0016161176470588237,-0.0028238823529411765
