domain,method,method_label,kind,rank,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0p6,fit_time_sec,inference_time_sec,samples,compactness_metric_name,compactness_value,top_family_mass,top_component_purity
math,no_svd_lr,StandardScaler -> LogisticRegression,no_svd,,0.9592546330044485,0.9972527472527473,0.9836845179065727,0.75,10%,287.4409984948579,0.3081647973352422,1792,top5_feature_mass,0.8168310861047503,0.5345214832803964,
math,svd_r2,StandardScaler -> TruncatedSVD(rank=2) -> LogisticRegression,svd,2,0.635411223069191,0.9170329670329671,0.586461598608546,0.6785714285714286,10%,89.03603372490034,0.2596926763653755,1792,top5_feature_mass,0.5413443955741544,0.38486095298072265,0.3174738543045592
math,svd_r4,StandardScaler -> TruncatedSVD(rank=4) -> LogisticRegression,svd,4,0.7566118952325515,0.9467032967032968,0.8200906414980043,0.7142857142857143,10%,144.89668999100104,0.21008311204301813,1792,top5_feature_mass,0.6285779145002928,0.47575037568136663,0.4410408376958259
math,svd_r8,StandardScaler -> TruncatedSVD(rank=8) -> LogisticRegression,svd,8,0.8825257124958824,0.9989010989010989,0.8856059737684193,0.7857142857142857,10%,43.440119807142764,0.2905295103167494,1792,top5_feature_mass,0.8135518148971512,0.636977922252457,0.6164057167182326
math,svd_r12,StandardScaler -> TruncatedSVD(rank=12) -> LogisticRegression,svd,12,0.9514460590681125,0.9967032967032967,0.9751116618938608,0.75,10%,11.526466740993783,0.3168641943484545,1792,top5_feature_mass,0.8759887926283509,0.7046420018192425,0.5894595594622117
math,svd_r16,StandardScaler -> TruncatedSVD(rank=16) -> LogisticRegression,svd,16,0.9580822331333237,0.9972527472527473,0.9817264019528166,0.75,10%,15.776916829869151,0.2114675206442674,1792,top5_feature_mass,0.8841098400552826,0.8064196503956045,0.589459559462214
math,svd_r24,StandardScaler -> TruncatedSVD(rank=24) -> LogisticRegression,svd,24,0.9594568749412576,0.9983516483516484,0.9837204048613746,0.7142857142857143,10%,26.2160364149604,0.21374772566681108,1792,top5_feature_mass,0.8463449784935937,0.5918702725687044,0.6634137972393547
math,svd_r32,StandardScaler -> TruncatedSVD(rank=32) -> LogisticRegression,svd,32,0.9592936502427957,0.9972527472527473,0.9836866838840072,0.75,10%,26.203032806050032,0.21442986970456937,1792,top5_feature_mass,0.8141994981307668,0.5341707089083522,0.7388449486999196
science,no_svd_lr,StandardScaler -> LogisticRegression,no_svd,,0.8348068336329908,0.9846354166666667,0.8761057005335553,0.7166666666666666,10%,466.5472363210283,0.3081647973352422,3840,top5_feature_mass,0.7679268903318004,0.5107462013956346,
science,svd_r2,StandardScaler -> TruncatedSVD(rank=2) -> LogisticRegression,svd,2,0.8024887898953574,0.96015625,0.8335521162157458,0.7333333333333334,10%,195.10343250003643,0.2596926763653755,3840,top5_feature_mass,0.5593596413454859,0.4936518380844471,0.34479116931982234
science,svd_r4,StandardScaler -> TruncatedSVD(rank=4) -> LogisticRegression,svd,4,0.7996024166719004,0.9585937500000001,0.8329288059879406,0.7,10%,167.19995668996125,0.21008311204301813,3840,top5_feature_mass,0.5672289075775838,0.5000325420227004,0.3447911690731789
science,svd_r8,StandardScaler -> TruncatedSVD(rank=8) -> LogisticRegression,svd,8,0.7696699847242527,0.9588541666666666,0.8228581836583904,0.7833333333333334,10%,23.325058552902192,0.2905295103167494,3840,top5_feature_mass,0.670576943357317,0.5456211330034826,0.5346929609548521
science,svd_r12,StandardScaler -> TruncatedSVD(rank=12) -> LogisticRegression,svd,12,0.7870219329169461,0.9809895833333333,0.8411018630769418,0.6499999999999999,10%,16.996806025039405,0.3168641943484545,3840,top5_feature_mass,0.8163318077637123,0.6281107497254468,0.4547662867352291
science,svd_r16,StandardScaler -> TruncatedSVD(rank=16) -> LogisticRegression,svd,16,0.799789594441657,0.98828125,0.8543088753500945,0.7333333333333334,10%,21.661994186928496,0.2114675206442674,3840,top5_feature_mass,0.807381087037763,0.47406717704152745,0.45481908599180654
